container_id,workload_mi,state_size_mb,ram_requirement_mb
0,27212.0,65.0,135.0
1,36516.0,171.0,443.0
2,411950.0,1463.0,1252.0
3,64974.0,351.0,1371.0
4,225970.0,204.0,1322.0
5,26853.0,95.0,498.0
6,21941.0,28.0,131.0
7,12261.0,76.0,230.0
8,29414.0,107.0,355.0
9,197596.0,1960.0,2179.0
10,462440.0,1152.0,2050.0
11,30961.0,104.0,178.0
12,30740.0,156.0,117.0
13,26738.0,76.0,288.0
14,29874.0,119.0,492.0
15,10245.0,42.0,263.0
16,12627.0,116.0,474.0
17,142302.0,149.0,813.0
18,243459.0,881.0,1886.0
19,121485.0,588.0,1554.0
20,94039.0,4237.0,6861.0
21,214533.0,265.0,1010.0
22,24352.0,67.0,225.0
23,20210.0,81.0,138.0
24,150804.0,2313.0,2930.0
25,336333.0,546.0,1112.0
26,221306.0,1306.0,1980.0
27,63900.0,147.0,1434.0
28,25577.0,23.0,153.0
29,33684.0,148.0,490.0
30,75525.0,657.0,906.0
31,48630.0,118.0,1944.0
32,114247.0,3754.0,2349.0
33,57208.0,275.0,1324.0
34,225243.0,424.0,2910.0
35,148567.0,2743.0,6380.0
36,16148.0,78.0,403.0
37,155214.0,273.0,1188.0
38,6909.0,7.0,241.0
39,15257.0,21.0,158.0
40,57209.0,4797.0,7320.0
41,12489.0,64.0,176.0
42,29272.0,140.0,346.0
43,191638.0,4469.0,5818.0
44,18113.0,42.0,211.0
45,41504.0,166.0,350.0
46,48254.0,182.0,178.0
47,6753.0,127.0,235.0
48,75087.0,691.0,535.0
49,16731.0,104.0,377.0
50,33302.0,177.0,394.0
51,29092.0,57.0,156.0
52,66478.0,496.0,1119.0
53,16251.0,120.0,447.0
54,8681.0,70.0,235.0
55,9641.0,181.0,302.0
56,150411.0,916.0,1778.0
57,266371.0,484.0,2914.0
58,18056.0,65.0,162.0
59,32110.0,115.0,185.0
60,24164.0,80.0,73.0
61,147167.0,797.0,584.0
62,44947.0,77.0,147.0
63,247532.0,695.0,1202.0
64,113914.0,1890.0,4380.0
65,56127.0,459.0,850.0
66,36199.0,217.0,1719.0
67,197900.0,4014.0,4258.0
68,39972.0,116.0,270.0
69,76328.0,404.0,881.0
70,26090.0,21.0,148.0
71,243727.0,745.0,1475.0
72,162472.0,429.0,2737.0
73,274534.0,1703.0,3934.0
74,3215.0,93.0,280.0
75,17508.0,97.0,181.0
76,127698.0,436.0,2992.0
77,333726.0,1852.0,1136.0
78,144545.0,723.0,1183.0
79,9767.0,23.0,166.0
80,65233.0,286.0,1041.0
81,29614.0,71.0,184.0
82,23504.0,125.0,208.0
83,42014.0,190.0,390.0
84,172013.0,946.0,2732.0
85,2738.0,41.0,253.0
86,21953.0,152.0,257.0
87,42725.0,99.0,266.0
88,5615.0,24.0,377.0
89,29992.0,100.0,189.0
90,22331.0,77.0,144.0
91,14615.0,17.0,289.0
92,8402.0,69.0,205.0
93,11553.0,274.0,1214.0
94,28407.0,172.0,321.0
95,4475.0,80.0,197.0
96,163271.0,3481.0,6224.0
97,45642.0,127.0,492.0
98,31546.0,85.0,275.0
99,20671.0,108.0,413.0
100,128540.0,3791.0,6779.0
101,141925.0,444.0,887.0
102,13210.0,329.0,1021.0
103,29177.0,97.0,334.0
104,379067.0,770.0,3090.0
105,277293.0,579.0,2335.0
106,32087.0,53.0,429.0
107,17537.0,44.0,135.0
108,29049.0,78.0,458.0
109,27654.0,141.0,116.0
110,185852.0,750.0,2023.0
111,17459.0,163.0,399.0
112,7862.0,40.0,171.0
113,123595.0,472.0,1581.0
114,44035.0,277.0,1570.0
115,126752.0,3128.0,2643.0
116,78956.0,378.0,657.0
117,106593.0,1080.0,3932.0
118,63381.0,3141.0,3399.0
119,15271.0,39.0,212.0
120,8911.0,112.0,335.0
121,51057.0,304.0,1068.0
122,12166.0,66.0,193.0
123,44877.0,199.0,1901.0
124,4850.0,20.0,111.0
125,25823.0,13.0,251.0
126,72774.0,86.0,1287.0
127,58787.0,499.0,1845.0
128,29145.0,87.0,254.0
129,27084.0,147.0,428.0
130,30054.0,119.0,212.0
131,7237.0,36.0,156.0
132,38131.0,111.0,383.0
133,332495.0,732.0,2443.0
134,7332.0,74.0,154.0
135,132338.0,1807.0,6107.0
136,9130.0,70.0,240.0
137,52427.0,407.0,660.0
138,25257.0,97.0,81.0
139,79365.0,142.0,1069.0
140,38350.0,119.0,437.0
141,67956.0,388.0,1699.0
142,12392.0,165.0,366.0
143,139865.0,321.0,1382.0
144,41747.0,93.0,251.0
145,33085.0,113.0,275.0
146,15450.0,181.0,254.0
147,27381.0,64.0,79.0
148,233126.0,1596.0,3081.0
149,24233.0,64.0,183.0
150,135973.0,4991.0,6514.0
151,23800.0,19.0,101.0
152,39311.0,177.0,237.0
153,314593.0,1068.0,2371.0
154,13124.0,81.0,87.0
155,22223.0,73.0,210.0
156,30448.0,146.0,340.0
157,7085.0,91.0,196.0
158,39652.0,180.0,1422.0
159,104485.0,454.0,1417.0
160,71049.0,469.0,1348.0
161,24122.0,7.0,213.0
162,30933.0,125.0,270.0
163,68831.0,460.0,684.0
164,29576.0,85.0,81.0
165,153072.0,449.0,1455.0
166,12621.0,76.0,101.0
167,81019.0,467.0,1796.0
168,269974.0,938.0,1931.0
169,46330.0,122.0,113.0
170,16170.0,120.0,166.0
171,27616.0,39.0,195.0
