# Algorithm: NSGA-III, Scenario: 1, Hosts: 10, VMs: 40, Containers: 400, Run: 1, Solutions: 17
solution_id,makespan,cost,energy,migration
0,279.34,4021.241241047035,325829.4596599424,31.2173828125
1,285.196,4337.742943904835,329161.8079129408,30.92880859375
2,279.93675,5857.278285916043,340433.62408558535,0.0
3,286.8355,4193.52087729258,342852.92130964855,0.0
4,276.26575,5222.874772799315,328854.2708400743,29.45517578125
5,273.507,4662.031380986996,314167.7027635848,34.48759765625
6,278.8685,4293.40085907766,322696.9270308533,32.92197265625
7,270.684,4672.7268914768465,326490.44677584124,33.494140625
8,270.26275,4289.55139654532,321324.9633537916,34.40400390625
9,300.46475,4100.810667828597,381877.2920963424,28.998828125
10,277.36525,4131.966422322347,342113.77037837205,30.051953125
11,275.0365,4182.336427507205,332754.68778564467,31.46982421875
12,269.39425,4827.928666695426,332553.7363543681,32.18515625
13,275.5501990097556,4063.3680747553126,318228.1371786959,33.16982421875
14,284.36,4845.770685703316,335528.2516225103,30.7591796875
15,251.6195,4558.944003666907,296106.60906078963,34.815625
16,283.12775,5000.564261114962,342206.0855140705,29.0298828125
